user_id,movie_id,rating,timestamp
806,1410,1,893082619
473,658,5,887925187
462,267,4,877384940
138,285,4,879537844
620,750,4,883799651
263,136,3,886122892
261,218,3,879794206
6,299,4,891350703
652,392,2,880152426
234,197,3,889655044
337,188,4,879438449
591,306,4,882607528
404,1477,1,885546636
393,175,5,881130008
324,1410,4,891478981
73,271,5,888333194
726,473,3,883710910
456,457,3,882393765
879,792,4,880174677
572,491,4,885843964
177,10,5,882826162
404,993,1,885549746
298,473,5,877880474
918,814,2,875289533
217,1072,5,881288265
14,110,4,879455914
748,237,3,878847863
609,274,4,888703453
342,134,5,876404568
477,136,4,889398260
869,1266,2,879270213
937,150,4,891356679
1,299,4,888979197
931,513,5,891249932
190,331,2,891562090
679,24,4,876816310
688,150,3,876676501
766,186,4,891462658
261,277,3,879790741
240,309,4,887249576
362,369,3,891500269
691,475,3,876953279
5,497,4,883601053
214,133,4,891435266
57,49,4,884304328
579,221,3,884125292
180,1295,1,878962006
453,491,3,888266643
642,673,3,891449901
692,217,4,875483473
837,71,4,887067162
98,408,2,885679411
487,199,2,891294606
6,267,3,891350703
696,1066,5,882622170
771,314,5,889028363
41,408,3,881106270
560,216,3,885810858
246,1021,4,893097024
107,470,2,879880076
486,281,4,883442105
567,493,4,877907835
177,1015,4,882824253
307,192,3,887737837
396,177,5,885349759
157,509,3,880134296
805,46,4,882387563
711,231,3,874956903
692,209,3,875484044
609,605,5,888703343
603,442,3,883668352
469,220,4,879178370
583,113,4,885778238
311,1171,5,891699538
819,263,3,887955180
454,507,4,882141385
315,322,1,880853152
867,725,2,877109926
151,943,4,882476632
449,611,4,882396564
808,332,3,891036903
319,232,4,884749281
895,224,1,887161518
378,620,4,880525815
485,882,3,879874388
560,233,3,885808824
234,482,5,889655204
392,153,2,887746302
636,407,5,882901355
253,14,3,886471307
868,281,3,884490987
426,679,5,879701326
263,1008,4,886124417
917,432,2,891987082
157,228,3,880134532
765,434,3,891309053
286,940,3,875335424
916,247,4,882912385
275,942,4,883822485
386,51,5,886483497
449,615,4,882373597
267,150,3,875742470
356,840,3,878951918
333,346,3,891547445
424,26,3,878738695
844,895,3,885409374
942,317,3,888639093
553,275,3,876548886
292,506,4,888905665
291,55,5,881105373
607,654,5,880405395
253,648,1,886474619
880,520,4,876537870
405,481,5,879446588
690,78,5,875543025
59,206,3,883327342
880,87,3,876538595
331,683,5,888360370
567,1202,5,877907281
69,160,3,884067638
6,390,3,892132943
486,819,3,883444884
631,678,4,879459321
915,194,3,880844920
885,1216,4,876033602
663,731,3,876525315
233,39,2,892335894
143,193,5,888105287
932,167,3,874853869
605,137,3,880927923
559,320,3,879975151
302,513,5,879466667
313,1151,4,877887469
499,132,3,883875681
432,473,3,880585759
633,273,3,876170992
824,507,4,880756725
406,518,4,875042466
896,464,5,879992030
715,94,4,879794775
523,519,3,884637314
35,872,3,882157386
719,871,3,891262780
535,194,4,882359431
451,602,4,887718667
20,550,3,874951898
323,272,5,880575449
380,224,3,892697495
649,71,2,891386755
180,145,1,878962955
37,399,1,892434036
688,470,4,876676433
168,482,3,891359200
90,615,4,891439439
0,82,3,875072370
159,639,3,876860808
298,1140,4,877880522
356,472,3,878951831
205,331,3,888179602
801,195,3,875985239
639,213,5,874778274
159,134,4,876860807
587,207,3,890023879
176,1109,3,880131123
41,450,2,881108982
200,655,4,884111775
814,64,5,878694664
58,124,3,888203658
848,405,4,879695125
715,179,3,879794815
313,762,5,877886706
221,731,4,878183425
144,105,4,875270655
867,661,2,877103714
424,317,2,878737841
369,434,3,879434999
553,1011,3,876231839
5,530,4,883600747
93,185,4,891722278
566,503,4,882425874
284,150,5,890595636
449,1248,3,882812821
108,754,5,880578814
62,305,3,875746948
640,63,4,879370337
701,299,3,885767461
278,79,4,875313750
828,191,5,881712519
238,287,2,889178513
616,634,4,883789716
915,420,5,880844291
641,203,4,885602593
404,968,3,885545015
895,27,2,887158738
620,1184,3,881445012
58,195,5,888205088
86,731,4,879876703
863,231,4,888889327
381,1380,3,875945757
663,202,4,876526685
339,501,2,884991678
184,320,5,883524428
42,780,3,883956494
275,288,2,890979634
361,263,1,885019695
108,394,3,880583672
623,596,3,879793129
253,20,3,886474518
618,299,5,885953684
428,247,5,882386870
28,188,4,882821942
621,587,4,882592246
104,306,2,889214381
120,291,4,891388960
39,336,4,889041523
654,871,3,888685879
888,93,4,880181646
658,85,5,891386071
880,171,4,876538986
345,1109,1,875264985
424,678,3,878738548
209,207,5,887730443
428,79,3,882386684
199,950,5,884130014
37,757,1,892434626
893,317,5,879897168
654,1099,3,887427371
896,55,2,879991037
58,754,4,888206254
703,602,5,891397262
611,126,2,875325049
212,126,5,878870790
720,470,5,877138200
487,221,4,891376029
937,275,3,891356572
343,596,2,884900454
722,987,1,880499254
115,293,2,876453376
344,364,2,884993760
313,500,4,877888610
717,545,4,883349158
344,533,4,884994592
94,431,3,879197886
658,941,3,891386347
862,753,3,889289067
251,409,5,891456989
4,41,5,875636360
389,257,5,879693461
313,709,3,877888796
591,343,4,888553156
870,181,5,888192925
852,287,4,879364822
326,707,4,887818596
95,215,4,884403095
9,704,4,877892050
710,253,2,879992038
827,1004,3,891037813
415,845,3,878878779
736,57,4,884314970
290,740,5,874834481
69,172,4,884149452
526,212,4,879456186
399,322,4,885676582
757,92,5,881975922
824,843,2,892949244
645,907,3,888529054
806,101,4,892979501
588,303,5,883352599
220,75,4,875246662
531,1198,3,874789155
256,1259,2,880496892
534,381,5,879618058
312,603,4,891014552
785,321,3,882842463
270,410,1,885848062
12,120,5,882397503
645,348,2,888529127
536,183,3,886032246
223,688,3,888082246
746,938,3,888639362
503,498,4,887909595
590,85,5,891031171
942,200,5,888639351
93,474,5,885870362
891,183,4,886609726
822,432,4,878438379
845,491,3,883947737
637,49,4,876694704
319,240,4,884750968
822,425,4,878437658
870,1385,3,888193136
532,257,4,884007368
7,686,1,879361825
285,55,2,877531469
20,594,3,874951617
716,627,5,884644605
163,247,4,889402030
454,938,4,879111454
330,932,3,877196235
535,448,4,882361262
534,479,4,879618207
187,590,5,875072674
907,493,3,879723046
795,735,3,893047126
723,285,1,883758268
86,1182,3,879875995
58,289,3,888203750
935,273,3,886832858
295,133,5,884197264
621,754,4,882670211
665,649,5,880139409
681,183,4,888519307
222,256,4,891550005
691,126,3,876948910
160,285,2,891169991
773,658,3,888555864
120,299,3,891387810
715,513,5,879796331
462,242,1,877384970
567,485,4,877907720
98,0,4,886518459
471,142,4,875980823
726,410,3,883709905
888,1066,3,880177131
185,97,5,891719859
396,155,5,885350381
451,418,4,887719030
915,970,4,880845476
921,567,3,891450524
895,140,3,887159012
421,286,3,878199757
520,683,3,884478807
715,558,2,879796846
600,106,4,876347113
159,3,4,876861754
59,70,3,883327948
536,403,3,886031720
269,216,5,876956360
777,237,3,890725804
773,188,2,888557987
296,155,4,875240090
867,153,3,877107539
12,157,1,882142057
320,510,4,879440954
473,615,4,887924028
495,431,4,876066652
689,201,2,881177349
12,10,1,882397146
291,522,4,881105561
805,510,5,882387520
681,565,3,888519260
170,269,4,891034835
551,12,3,879222238
787,61,3,880870179
532,95,4,879438767
804,99,5,881695196
528,332,4,882534996
762,736,2,878919055
23,357,3,875246012
143,698,4,888106106
67,257,5,876973692
729,741,3,880310553
631,155,3,879457437
560,1523,4,885809897
765,446,3,891309522
9,233,4,877888877
342,153,5,876406552
283,905,3,885328836
893,339,4,879896756
69,62,3,884151168
150,706,4,879528537
762,134,5,878918332
588,312,5,883352434
487,879,3,891293606
319,868,4,884751068
502,136,5,879438072
873,19,3,888632615
644,653,5,892053686
827,51,3,891037639
917,167,3,891986999
270,30,4,885849325
450,332,5,879012550
98,309,3,885678348
364,149,5,891303950
450,878,4,879012580
649,418,4,891370971
13,31,5,890881485
832,200,4,875134150
20,326,3,874950932
697,120,2,886368545
882,944,4,891754985
322,992,4,878739488
797,768,2,876249507
689,356,5,881179122
177,317,5,882826982
180,695,2,878962997
711,737,4,874956841
821,1090,1,891038627
822,232,4,878439365
723,905,1,883757468
183,510,4,889908740
324,484,3,891478599
304,85,4,886323757
305,257,2,876503793
273,712,5,878945437
795,203,5,892662441
17,968,3,880131106
714,181,5,875965035
896,525,5,879990813
93,327,3,891724990
456,392,3,882548583
765,502,3,891309329
233,278,3,892333980
294,78,4,879517600
499,761,4,883865532
818,320,4,880381928
706,1023,5,890008041
464,6,5,883529916
267,171,5,875310031
285,211,1,877531830
715,600,4,879794892
298,417,4,889501790
285,88,4,877533381
834,485,4,891034084
576,1043,4,880475504
12,634,1,882396984
513,63,4,875462645
600,762,5,876348035
541,191,5,886533421
311,920,5,891699295
261,1134,3,879794599
456,226,4,882392853
193,221,1,879538960
588,293,5,883352600
556,1175,5,881179653
864,407,5,880143385
